[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25512 current_hp=804638.0 current_mp=1784.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25509 current_hp=418874.0 current_mp=1847.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25325 current_hp=888658.0 current_mp=2987.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25322 current_hp=834231.0 current_mp=2707.0
[05.08.24 05:18:09] RaidBossSpawnManager onBossSpawned npc=25514 current_hp=714778.0 current_mp=3718.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25131 current_hp=369009.0 current_mp=1660.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25122 current_hp=467209.0 current_mp=2039.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25067 current_hp=554640.0 current_mp=1784.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25088 current_hp=702418.0 current_mp=1237.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25431 current_hp=273375.0 current_mp=1296.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25260 current_hp=392985.0 current_mp=1355.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25026 current_hp=352421.0 current_mp=1598.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25158 current_hp=920790.0 current_mp=1537.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25437 current_hp=576831.0 current_mp=1355.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25230 current_hp=482650.0 current_mp=2104.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25085 current_hp=371721.0 current_mp=1296.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25155 current_hp=294846.0 current_mp=1062.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25064 current_hp=218810.0 current_mp=1062.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25134 current_hp=218810.0 current_mp=1062.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25176 current_hp=451391.0 current_mp=1975.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25412 current_hp=319791.0 current_mp=1476.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25217 current_hp=369009.0 current_mp=1660.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25410 current_hp=218810.0 current_mp=1062.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25020 current_hp=156584.0 current_mp=860.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25173 current_hp=288415.0 current_mp=1355.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25082 current_hp=206753.0 current_mp=1028.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25487 current_hp=218810.0 current_mp=1062.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25211 current_hp=174646.0 current_mp=927.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25188 current_hp=255564.0 current_mp=731.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25185 current_hp=165289.0 current_mp=893.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25208 current_hp=218810.0 current_mp=1062.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25189 current_hp=156584.0 current_mp=860.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25490 current_hp=218810.0 current_mp=1062.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25115 current_hp=294846.0 current_mp=1062.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25493 current_hp=451391.0 current_mp=1975.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25496 current_hp=402319.0 current_mp=1784.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25016 current_hp=730956.0 current_mp=2301.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25032 current_hp=690320.0 current_mp=2169.0
[05.08.24 05:18:10] RaidBossSpawnManager onBossSpawned npc=25506 current_hp=184670.0 current_mp=960.0
